Sno,variables_Batch,variables,Type,Module
286,RATIO_COUNT_CREDIT_WEEKDAY_TYPE_WEEKDAY_TRXNS_30TO60D_COUNT_CREDIT_WEEKDAY_TYPE_WEEKDAY_TRXNS_60TO90D,RATIO_COUNT_CREDIT_WEEKDAY_TYPE_WEEKDAY_TRXNS_30TO60D_COUNT_CREDIT_WEEKDAY_TYPE_WEEKDAY_TRXNS_60TO90D,Numerical,Transaction
287,NUM_CUSTOMERKHATAONGAVECLICKED_121_TO_150_D,NUM_CUSTOMERKHATAONGAVECLICKED_121_TO_150_D,Numerical,ACTIVITY
288,NUM_KHATAREQUESTMONEYCLICK_61_TO_90_D,NUM_KHATAREQUESTMONEYCLICK_61_TO_90_D,Numerical,ACTIVITY
289,UNSECURED_ACCOUNT_OPENED_IN_LAST_180_DAYS_WITH_AMOUNT_GT_100000,UNSECURED_ACCOUNT_OPENED_IN_LAST_180_DAYS_WITH_AMOUNT_GT_100000,Numerical,BUREAU
290,RATIO_OF_DISTINCT_BANKS_LOAN_REPAYMENT_LAST_30D_TO_30TO60D,RATIO_DISTINCT_BANKS_LOAN_REPAYMENT_LAST_30D_TO_30TO60D,Numerical,SMS
291,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED,AVG_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED,Numerical,BUREAU
292,RATIO_COUNT_CREDITS_FULLY_RECOVERED_60TO90D_COUNT_CREDITS_FULLY_RECOVERED_330TO360D,RATIO_COUNT_CREDITS_FULLY_RECOVERED_60TO90D_COUNT_CREDITS_FULLY_RECOVERED_330TO360D,Numerical,Transaction
293,COUNT_2_DPD_30_45_D,COUNT_2_DPD_30_45_D,Numerical,PERFORMANCE
294,NUM_CREDITSCOREFETCHSUCCESS_61_TO_90_D,NUM_CREDITSCOREFETCHSUCCESS_61_TO_90_D,Numerical,ACTIVITY
295,MAX_OVERDUE_AMOUNT_90TO120D,MAX_OVERDUE_AMOUNT_90TO120D,Numerical,SMS
296,NUM_PAYOUTCREATED_1_TO_30_D,NUM_PAYOUTCREATED_1_TO_30_D,Numerical,ACTIVITY
297,RATIO_TOTAL_CREDIT_AMOUNT_BANK_TRANSFER_LAST30D_VS_30TO60D_SMS_BANKING,RATIO_TOTAL_CREDIT_AMOUNT_BANK_TRANSFER_LAST30D_VS_30TO60D,Numerical,SMS
298,RATIO_AVG_AVAILABLE_BALANCE_LAST30D_VS_60TO90D_SMS_BANKING,RATIO_AVG_AVAILABLE_BALANCE_LAST30D_VS_60TO90D,Numerical,SMS
299,ACCOUNT_OPENED_IN_LAST_360_DAYS_WITH_AMOUNT_GT_100000,ACCOUNT_OPENED_IN_LAST_360_DAYS_WITH_AMOUNT_GT_100000,Numerical,BUREAU
300,MAX_DAYS_PAST_DUE_UNSECURED_270_TO_300_DAYS,MAX_DAYS_PAST_DUE_UNSECURED_270_TO_300_DAYS,Numerical,BUREAU
301,RATIO_NUM_DEBIT_TXNS_GREATERTHAN_10000_LAST30D_VS_120TO150D_SMS_BANKING,RATIO_NUM_DEBIT_TXNS_GREATERTHAN_10000_LAST30D_VS_120TO150D,Numerical,SMS
302,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_300_TO_330_DAYS,MAX_DAYS_PAST_DUE_ACTIVE_UNSECURED_300_TO_330_DAYS,Numerical,BUREAU
303,TIMES_DPD_GT_30_LAST_510_DAYS,TIMES_DPD_GT_30_LAST_510_DAYS,Numerical,BUREAU
304,BUREAUSCORE_MIN,BUREAUSCORE_MIN,Numerical,LOCATION
305,TOTAL_CURRENT_BALANCE_UNSECURED,TOTAL_CURRENT_BALANCE_UNSECURED,Numerical,BUREAU
306,MIN_CREDIT_RECOVERED_30TO60D,MIN_CREDIT_RECOVERED_30TO60D,Numerical,Transaction
307,MAX_CURRENT_BALANCE_UNSECURED,MAX_CURRENT_BALANCE_UNSECURED,Numerical,BUREAU
308,NUM_AVAILABLE_BALANCE_150TO180D_SMS_BANKING,NUM_AVAILABLE_BALANCE_150DTO180D,Numerical,SMS
309,RATIO_AVG_DEBIT_TXNS_AVG_CREDIT_TXNS_30TO60D_SMS_BANKING,RATIO_AVG_DEBIT_TXNS_AVG_CREDIT_TXNS_30TO60D,Numerical,SMS
310,TOTAL_REPAYMENT_TENURE_UNSECURED_AND_CLOSED,TOTAL_REPAYMENT_TENURE_UNSECURED_AND_CLOSED,Numerical,BUREAU
